Name of Company,Type of Industry,Company Address
Veer Immersive Technologies,Software and Computer Services,"Veer House, Greenvew Compound Col. Bonny Serrano Ave., Quezon City "
Vertiv,,7th Flr. Cybergate Plaza EDSA Brgy. Ilaya Mandaluyong City
"VFX Team Studio, Inc.",Video editing service,"133-B K-2nd Street, Kamuning, Quezon City, Philippines 1300"
VGM Computerworks System,Information Technology and Services,"No. 24 Bonnie Serrano Avenue, Quezon City, Philippines"
"Viaexpress Travel and Tours, Inc.",,"UA-214 Hillcrest Condominium Corp. #1616, E. Rodriguez Jr. Avenue, Immaculate Concepcion 4, Quezon City, Philippines"
Vibal Publishing House,Publishing/Printing,"G. Araneta Avenue cor. Ma. Clara Street, Quezon City, Philippines"
"VILLARUZ, VILLARUZ & CO., CPAs",Audit & Accounting Services,Unit 3 9F Galleria Corporate Center Edsa cor. Ortigas Ave. Quezon City
Victoria Court,Hotel/Hospitality,"1 Victoria Drive, Canley Road, Brgy. Bagong Ilog, Pasig City, Philippines 1600"
Victoria De Malate,,"Angel Linao Street, Malate Manila"
Victory U-Belt,,"St. Thomas Square, 302 España Boulevard, Manila, Philippines"
"Viking Cars, Incorporated (VOLVO Philippines)",Car Dealer,"2/F UDC Building, 2272 Chino Roces Avenue, Makati City, Philippines 1232"
"Virtoren Services, Inc. (Staff Virtual)",Software and Computer Services,"Unit 1101, Pearlbank Centre, 146 Valero St., Salcedo Village, Makati City"
"Vishay Philippines, Inc.",Semiconductor Company,"Vishay Building, Bagsakan Road, FTI Complex, Taguig City, Philippines 1630"
Vitalstrats Creative Solutions Co. (VCS),Digital Content Production Agency,"Unit 201 Puno Building, No. 47 Kalayaan Avenue, Quezon City, Philippines 1100"
Vivo Mobile Technologies Inc.,Telecommunication,"33rd Flr., East Tower, Philipppine Stock ExchangeOrtigas Center, Pasig City"
Vlad5 Management Systems Consulting,Advertising/Design and Photography,"2732-C Gen. Capinpin St. Bangkal, Makati City"
VPAS Law Office and Associates,,"RFV Building, 28 Visayas Ave., Brgy. Bahay Toro Quezon City 1106"
VVR Engineering Design Services,Engineering Design Consultancy,"Blk 4 Lot 1 st. Francis Village San Bartolome, Quezon City"
"VXI Global Holdings, B.V",BPO,"G/F SM Cyber Two Building,Jupiter and Zodiac St. corner Buendia Ave. Makati City"
Waterfront Hotels & Casino (Corporate Office),,"27/F Wynsum Corporate Plaza, Francisco Ortigas Jr. Road, Ortigas Center, Pasig City, Philippines 1605"
"Waterhouse Auction Management Services, Inc.",Financial Services,"Lot 13 Rambutan East Service Road, FTI,Taguig City, Philippines"
"Wcube Solutions, Inc.",Web and Mobile Design,"Unit 408 West City Plaza Building, 66 West Avenue, West Triangle, Quezon City, Philippines"
We Select Inc.,IT/BPO Recruitment/Consulting,"Unit 608 AIC burgundy Empire Tower Blgd. Ortigas Center, Pasig City"
"Web Outsourcing Gateway, Inc.",Multimedia/Design/IT,"Unit 3101 One Corporate Center, Doña Julia Vargas Avenue cor. Meralco Avenue, Ortigas Center, Pasig City, Philippines"
Webcast Technologies Inc.,IT Solution,"L&I Building 817 EDSA, South Triangle Quezon City"
"Webworks Outsourcing, Inc. / Gurango software corp.",Information and Communication Technology,"Ground Floor, Topy's Place Building, No. 7, Libis, Calle Industria, Bagumbayan, Quezon City, Metro Manila"
Weepay Payment Processing Corporation,Financial Services .,"Unit 2003B West Tower, Philippine Stock Exchange Centre, Exchange Road, Ortigas Center, Pasig City, Philippines"
"Welovemotion, Inc.",Advertising/Design/Marketing,"1125 Antipolo Street, Brgy. Valenzuela, Makati City, Philippines"
WEnergy Power Pilipinas Inc.,Renewable Energy,"Suite 15/27F Cyberspace, Gamma Topaz Rd., Ortigas Center, Pasig City"
Wenphil Corporation (Wendy's),Food and Beverage,"28/F Ayala Life - FGU Center, 6811 Ayala Avenue, Makati City, Philippines"
Westar Metal Industries,,"52 R. Valenzuela Street, Marulas, Valenzuela City, Philippines"
Westwork Group Inc,Manufacturing/Production,"Penthouse 1 3/F 910 Colbella Arcade, A. Arnaiz Avenue, San Lorenzo Village, Makati City, Philippines"
"Wide-Out Workforces, Inc.",BPO,"Unit 2802 28/F, Pacific Star Building, Sen. Gil Puyat Avenue cor. Makati Avenue, Makati City, Philippines 1200"
"Wiflab ""Web Development Services""",Software & Computer Services,"National Highway, Alangilan Batangas City"
Wildfire Incorporated,Advertising/Corporate Events,"Warehouse 7, No.2 Pines Street, Ricmas Compound, Brgy. Buayang Bato, Mandaluyong City"
Winterpine Marketing Corp.,,"11-A Araneta Avenue, Quezon City, Philippines 1100"
Wizard @ Wokx Holding Inc.,Software and Computer Services,"304 B E. Rodriguez Sr. Ave. Cubao, Quezon City"
"Wordtext Systems, Inc.",Software and Computer Services,"WSI Corporate Center, 1005 Metropolitan Avenue, Makati City, Philippines 1205"
"Workspresso, Inc.",,"55-D Damar Cooperative, Damar Village, Quezon City, Philippines"
World Home Depot Corporation,Construction and Materials,20 Fortune Ave cor santan brgy fortune marikina city
"World Vision Development Foundation, Inc.",Non-Profit Organisation/Social Services/NGO,"389 Quezon Avenue cor. 6th West Street, West Triangle, Quezon City, Philippines"
WSP Philippines Inc. (for renewal),Engineering Consultancy,"19th Flr, OMM-Citra Bldg., 39 San Miguel Ave., Pasig "
"X-Habit, Inc.",,"1251 El Inventor Complex, Amang Rodriguez Avenue, Manggahan Road, Pasig City, Philippines"
Ximera Business Solutions,Software and Computer Services,"86 Mayon St., Brgy. Sta. Teresita, Quezon City "
XP Solutions,Modeling/mapping Software for the Civil Engineering and Environmental Sectors,"1B Legazpi Towers 100, Legazpi Street, Makati City"
XS Multimedia,Marketing and Advertising,"4th Floor, A&A, 37 Scout Borromeo St., Quezon City"
XSDesignstudio Corporation,Multimedia Company,"Studio B and Studio C, No. 8 Engineering Street, Project 8, Quezon City, Philippines 1108"
"Xtreme Works, Inc.",Information and Technology Services,"Unit 210 Peninsula Court, 8735 Paseo de Roxas cor. Makati Avenue, Salcedo Village, Makati City, Philippines"
Xinyx Design,Business Process Outsourcing / Software and Computer Services,"Unit 17 10th Flr. Parkway Corporate Center Corporate Avenue Alabang 1781 City of Muntinlupa NCR, 4th District Philippines"
"Xurpas, Inc.","Software Consultancy, Design, Development and Managed-Services","7F/ Cambridge Centre Building, 108 Tordesillas Street cor. Gallardo Street, Salcedo Village, Makati City, Philippines 1227"
YABANG PINOY,,"21B Apostol Street, San Lorenzo Village Makati City, Philippines"
Yeaps Corporation,Marketing Agency,
Yeladim,,
"Yellow Brick Road Productions, Inc.",,"5/F Liberty Building, # 835 A. Arnaiz Avenue, Makati City, Philippines"
YML Group Outsource Manila Inc.,Business Consultancy,"L33 B114 3rd Floor, Acacio Bldg, Regalado Ave., Brgy. Greater Lagro, Quezon City"
YNS Philippines Inc.,Software and Computer Services,"15F Pacific Star Building, Sen. Gil Puyat Ave. Makati Ave, Makati City"
Yondu Inc.,IT Solution,"Penthouse Panorama Tower, 34th st. Corner. Lane A., BGC., Taguig City"
YouSource Inc.,Software and Computer Service,"5/F PHINMA Plaza, 39 Plaza Drive, Rockwell Center, Makati"
"Zalora Philippines (BF Jade e-Services Philippines, Inc.)",Online Apparel/Beauty Prods,"No. 50 Jupiter Street, Brgy. Bel-Air, Makati City, Philippines"
"Zambales II Electric Cooperative, Inc.",Electric Utility,"Magsaysay, Castillejos, Zambales"
Zarrbuilt Konstruction,Construction and Materials,"3F R305 Hanakuchichi Bldg., M. Almeda cor. B. Morcilla San Roque, Pateros, Metro Manila"
Zeenoh Inc. ,Software and Computer Service,504 Richbelt Tower Annapolis St. Greenhills San Juan City
Zoobic Safari Corporation,Travel and Leisure,"3F Yupangco Bldg. #339 Sen Gen. Puyat Ave., Makati "
Zoomanity Group,,"3F Yupangco Bldg. #339 Sen Gen. Puyat Ave., Makati "
ZQR Corporation,Mobile Application Tester,
Zuellig Pharma Asia Pacific LTD. Phils,Pharmaceuticals & Biotechnology,27F Phil. AXA Life Center Bldg. Sen. Gil Puyat Ave. cor. Tindalo St. Makati City
MEGAWIDE,Construction & Materials,
Fisher-Rosemount Systems Inc. – Philippine Branch Office,Engineering/ IT,"19th floor Cyberscape Alpha Bldg., Sapphire and Garnet"
Infinit-O Manila,Business Process Outsourcing,"9/F SCMC Mall of Asia Arena Annex (MAAX) Building, Pasay,"
